anger,happy,fear,sad,excite,brightness,loudness,mean
-0.002090187,0.322215775,-1.15E-14,-8.38E-13,-3.32E-05,0.458976257,0.007069337,1
-0.001418891,0.525248406,-6.02E-15,-4.44E-13,-1.99E-05,0.491637829,0.007438816,1
-0.000949155,0.697614248,-3.13E-15,-2.34E-13,-1.18E-05,0.538495871,0.007811718,1
-0.000626287,0.789042442,-1.63E-15,-1.23E-13,-6.99E-06,0.588200425,0.008494581,1
-0.000407985,0.830749175,-8.42E-16,-6.49E-14,-4.10E-06,0.632121107,0.009789851,1
-0.000262603,0.983667875,-4.36E-16,-3.40E-14,-2.39E-06,0.663681532,0.012128957,1
-0.000167133,1.403868563,-2.25E-16,-1.78E-14,-1.39E-06,0.679797473,0.014953202,1
-0.000105249,2.005484899,-1.16E-16,-9.31E-15,-7.99E-07,0.675835961,0.016663641,1
-6.56E-05,2.620016128,-5.97E-17,-4.85E-15,-4.58E-07,0.651350637,0.016324659,1
-4.05E-05,3.125323085,-3.07E-17,-2.52E-15,-2.61E-07,0.612646722,0.014371079,1
-2.48E-05,3.386065285,-1.57E-17,-1.31E-15,-1.48E-07,0.568102983,0.012701353,1
-1.51E-05,3.321954094,-8.06E-18,-6.80E-16,0.033741525,0.524299289,0.013060716,1
-9.07E-06,2.974749555,-4.12E-18,-3.52E-16,0.28091864,0.485192546,0.016148538,1
-5.42E-06,2.461858508,-2.10E-18,-1.82E-16,0.884912704,0.453555386,0.022490791,1
-3.22E-06,1.904243237,-1.07E-18,-9.36E-17,1.894055994,0.431130235,0.031506032,1
-1.90E-06,1.388805875,-5.46E-19,-4.82E-17,3.238625059,0.418068138,0.040170605,1
-1.11E-06,0.963078158,-2.78E-19,-2.48E-17,4.589505212,0.41299246,0.045736868,1
-6.46E-07,0.644204213,-1.41E-19,-1.27E-17,5.502782199,0.413705181,0.047513635,1
-3.74E-07,0.441480071,-7.15E-20,-6.51E-18,5.767057863,0.41835109,0.046387067,1
-2.15E-07,0.410049589,-3.62E-20,-3.33E-18,5.463459398,0.426397406,0.043714734,1
-1.23E-07,0.623682507,-1.83E-20,-1.70E-18,4.80316425,0.437394017,0.04058978,1
-7.00E-08,1.148573728,-9.25E-21,-8.66E-19,3.963188046,0.450575691,0.037775051,1
-3.96E-08,2.026225401,-4.66E-21,-4.41E-19,3.024711444,0.464718302,0.036298352,1
-2.23E-08,3.231622778,-2.35E-21,-2.24E-19,2.053212078,0.478410635,0.037723751,1
-1.25E-08,4.630687589,-1.18E-21,-1.14E-19,1.145806383,0.490423707,0.042946394,1
-7.00E-09,5.999256036,-5.95E-22,-5.78E-20,0.476127168,0.499999407,0.049975061,1
-3.89E-09,6.903964011,-2.99E-22,-2.93E-20,0.311356829,0.506787339,0.055421119,1
-2.16E-09,7.011721801,-1.50E-22,-1.48E-20,0.733463083,0.510850793,0.057534949,1
-1.19E-09,6.350413276,-7.50E-23,-7.48E-21,1.549671535,0.51279784,0.056916035,1
-6.55E-10,5.19553504,-3.75E-23,-3.77E-21,2.558511646,0.513378436,0.055160271,1
-3.59E-10,3.869040312,-1.88E-23,-1.90E-21,3.781346693,0.513171749,0.053677707,1
-1.96E-10,2.646660145,-9.38E-24,-9.57E-22,5.313638756,0.512503608,0.05338789,1
-1.06E-10,1.67638028,-4.68E-24,-4.81E-22,7.046029201,0.51152901,0.054484637,1
-5.77E-11,0.958221423,-2.33E-24,-2.42E-22,8.721816183,0.510379137,0.056371537,1
-3.12E-11,0.470571794,-1.16E-24,-1.21E-22,10.05558466,0.509270799,0.058087428,1
-1.68E-11,0.340572198,-5.78E-25,-6.07E-23,10.79229819,0.508528703,0.059381516,1
-9.04E-12,0.670464556,-2.87E-25,-3.04E-23,10.75936505,0.508302745,0.060660956,1
-4.84E-12,1.2587962,-1.43E-25,-1.52E-23,9.977570277,0.508481864,0.062230221,1
-2.59E-12,1.88733463,-7.07E-26,-7.59E-24,8.70781099,0.508826927,0.064222329,1
-1.38E-12,2.448654354,-3.51E-26,-3.79E-24,7.422530204,0.509102356,0.066256615,1
